location,city,district,neighborhood,room,living_room,area,age,floor,price
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,102,1,1,4350000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,3,1,105,13,3,2300000
afyonkarahisar-merkez-guvenevler-satilik,afyonkarahisar,merkez,guvenevler,3,1,120,23,3,3250000
afyonkarahisar-merkez-istiklal-satilik,afyonkarahisar,merkez,istiklal,3,1,124,16,4,2950000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,170,26,4,5750000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,3,1,125,0,2,4100000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,2,1,105,31,0,1200000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,4,1,170,5,3,5950000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,1,1,53,4,1,2600000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,1,1,54,1,1,2900000
afyonkarahisar-merkez-gazi-satilik,afyonkarahisar,merkez,gazi,3,1,125,21,3,3190000
afyonkarahisar-merkez-istiklal-satilik,afyonkarahisar,merkez,istiklal,3,1,134,0,3,5150000
afyonkarahisar-merkez-erkmen-hurriyet-satilik,afyonkarahisar,merkez,erkmen_hurriyet,4,1,170,0,5,6000000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,60,9,2,1350000
afyonkarahisar-dinar-korubasi-satilik,afyonkarahisar,dinar,korubasi,3,1,180,9,3,4665000
afyonkarahisar-merkez-dortyol-satilik,afyonkarahisar,merkez,dortyol,2,1,88,1,0,2550000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,3,1,140,0,3,4000000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,120,31,4,2750000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,105,0,2,3650000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,3,1,105,0,0,3700000
afyonkarahisar-merkez-erkmen-cumhuriyet-satilik,afyonkarahisar,merkez,erkmen_cumhuriyet,3,1,170,11,2,4500000
afyonkarahisar-merkez-karaman-satilik,afyonkarahisar,merkez,karaman,3,1,140,21,0,2950000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,125,31,3,2340000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,130,0,3,4200000
afyonkarahisar-merkez-hoca-ahmet-yesevi-satilik,afyonkarahisar,merkez,hoca_ahmet_yesevi,2,1,90,11,1,2250000
afyonkarahisar-bolvadin-ihsaniye-satilik,afyonkarahisar,bolvadin,ihsaniye,3,1,120,11,3,2500000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,48,0,1,1350000
afyonkarahisar-merkez-battalgazi-satilik,afyonkarahisar,merkez,battalgazi,2,1,95,3,5,2425000
afyonkarahisar-merkez-guvenevler-satilik,afyonkarahisar,merkez,guvenevler,3,1,120,5,6,4490000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,140,11,1,4050000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,165,16,1,4400000
afyonkarahisar-merkez-hattat-karahisar-satilik,afyonkarahisar,merkez,hattat_karahisar,3,1,125,23,3,2775000
afyonkarahisar-merkez-dervis-pasa-satilik,afyonkarahisar,merkez,dervis_pasa,3,1,110,21,1,2350000
afyonkarahisar-dinar-gazi-mehmet-cavus-satilik,afyonkarahisar,dinar,gazi_mehmet_cavus,3,1,130,4,4,2550000
afyonkarahisar-merkez-marulcu-satilik,afyonkarahisar,merkez,marulcu,3,1,117,21,2,4550000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,3,1,140,8,1,3750000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,58,11,4,1520000
afyonkarahisar-merkez-ornekevler-satilik,afyonkarahisar,merkez,ornekevler,3,1,160,20,1,3200000
afyonkarahisar-merkez-kocatepe-satilik,afyonkarahisar,merkez,kocatepe,3,1,110,31,3,1975000
afyonkarahisar-merkez-yarenler-satilik,afyonkarahisar,merkez,yarenler,2,1,95,6,3,2450000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,55,5,2,1300000
afyonkarahisar-merkez-ali-ihsan-pasa-satilik,afyonkarahisar,merkez,ali_ihsan_pasa,3,1,130,16,0,2350000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,130,31,3,2250000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,48,8,1,1350000
afyonkarahisar-merkez-hoca-ahmet-yesevi-satilik,afyonkarahisar,merkez,hoca_ahmet_yesevi,3,1,140,4,2,3200000
afyonkarahisar-sandikli-ece-satilik,afyonkarahisar,sandikli,ece,3,1,120,13,3,3550000
afyonkarahisar-merkez-ali-ihsan-pasa-satilik,afyonkarahisar,merkez,ali_ihsan_pasa,3,1,135,5,3,4480000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,60,5,1,2250000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,2,1,100,8,1,3250000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,65,1,3,1750000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,125,29,2,2500000
afyonkarahisar-merkez-ornekevler-satilik,afyonkarahisar,merkez,ornekevler,2,1,110,21,3,2400000
afyonkarahisar-merkez-dortyol-satilik,afyonkarahisar,merkez,dortyol,3,1,145,15,4,4500000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,115,0,1,3350000
afyonkarahisar-merkez-sadikbey-satilik,afyonkarahisar,merkez,sadikbey,2,1,95,4,3,2950000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,110,0,2,3550000
afyonkarahisar-merkez-dortyol-satilik,afyonkarahisar,merkez,dortyol,4,1,175,0,4,6000000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,3,1,120,11,4,2580000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,48,5,3,1350000
afyonkarahisar-merkez-esrefpasa-satilik,afyonkarahisar,merkez,esrefpasa,2,1,85,11,0,1800000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,105,33,2,2850000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,155,5,2,3900000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,100,0,2,3800000
afyonkarahisar-merkez-kasimpasa-satilik,afyonkarahisar,merkez,kasimpasa,3,1,125,16,3,3350000
