"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","wp-btn","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-satilik/daire/156595-63","17","4.350.000","11-09-2025","2 +
                          1","102 m²","1
                        Yaşında","1. Kat","Uydukent Niko Devlet Hastanesi Yakını Satılık Geniş Satık 2+1","Afyonkarahisar / Merkez / Selçuklu Mah.","Whatsapp",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-satilik/daire/145595-242","19","2.300.000","10-09-2025","3 +
                          1","105 m²","13
                        Yaşında","Ara Kat","Nazmi Saatçi Mahallesinde 3+1 Lüks Daire","Afyonkarahisar / Merkez / Fatih Mah.","Whatsapp",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-guvenevler-satilik/daire/143765-644","23","3.250.000","28-08-2025","3 +
                          1","120 m²","23
                        Yaşında","3. Kat","Nokta Emlak'tan Güvenevler Mh. 3+1 Kiralık Daire","Afyonkarahisar / Merkez / Güvenevler Mah.","Whatsapp",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-istiklal-satilik/daire/154976-89","22","2.950.000","09-09-2025","3 +
                          1","124 m²","16
                        Yaşında","4. Kat","Afyon Merkez İstiklal Mahallesinde 3+1 Satılık Daire","Afyonkarahisar / Merkez / İstiklal Mah.","Whatsapp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/7/3/2/2/5/4/73401c11-fe6d-4d98-8686-1abb9a8e1f2d.jpeg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dumlupinar-satilik/daire/156595-57","30","5.750.000","11-09-2025","3 +
                          1","170 m²","26
                        Yaşında","4. Kat","Afyon'un En İşlek Caddesinde Yeşilyolda 3+1 Fırsat Satılık Daire","Afyonkarahisar / Merkez / Dumlupınar Mah.","Whatsapp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/3/6/7/1/5/4/f9cd6a50-b89f-4153-bcc3-7ca2670d8508.jpeg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-satilik/daire/145595-198","19","4.100.000","09-09-2025","3 +
                          1","125 m²","Sıfır Bina","2. Kat","Afyon Tezcan Emlaktan Fatih Mahallesinde Sıfır 3+1 Daireler","Afyonkarahisar / Merkez / Fatih Mah.","Whatsapp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/1/0/3/9/4/4/9b68602e-56a4-4bb1-b3c1-2502ed787d6f.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-satilik/daire/149466-115","19","1.200.000","15-09-2025","2 +
                          1","105 m²","31
                        Yaşında","Bodrum","Sağlam Emlaktan Ambaryolunda Satılık Bodrum Bahçe Katı","Afyonkarahisar / Merkez / Cumhuriyet Mah.","Whatsapp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/8/1/5/2/5/4/63fbb639-c56d-4155-9418-b0e6e40b54f2.jpeg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-satilik/daire/113196-288","14","5.950.000","15-09-2025","4 +
                          1","170 m²","5
                        Yaşında","3. Kat","Koçoğlundan Selçuklu Da Akarçay Manzaralı 4+1 Arakat Satılık","Afyonkarahisar / Merkez / Selçuklu Mah.","Whatsapp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/4/3/4/9/4/4/cfba36cc-8696-4fda-ab35-03c0aa4f2332.jpeg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-satilik/daire/149466-112","15","2.600.000","10-09-2025","1 +
                          1","53 m²","4
                        Yaşında","Yüksek Giriş","Sağlam Emlaktan  Selçukluda Satılık Eşyalı 1+1daire","Afyonkarahisar / Merkez / Selçuklu Mah.","Whatsapp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/8/5/2/2/5/4/1757486832-256187-45225888.jpeg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-satilik/daire/156595-61","14","2.900.000","11-09-2025","1 +
                          1","54 m²","1
                        Yaşında","1. Kat","Uydukent Yatırımlık Fırsat Taksitli 1+1 Eşyalı","Afyonkarahisar / Merkez / Selçuklu Mah.","Whatsapp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/0/5/3/2/5/4/e77b7f1585c6382f494a1c3d79269933ff15119abf43e4060957007c7ecbb5208036cf464e4319614907816dc6b6e78a.jpg"
