"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"ÇINAR GRUP'DAN ÇAY ŞİRİNEVLER'DE SATILIK 3+1 ARA KAT LÜKS DAİRE","125","3+1","3.600.000 TL","Çay"
"KARANFİL EMLAK SATILIK ESKİ STADYUM DA 4+1 LÜKS DAİRE","180","4+1","7.950.000 TL","Merkez"
"ÇINAR GRUP'DAN ÇAY İLÇEMİZ DÖRTYOL'DA SATILIK 2+1 DAİRELER","70","2+1","2.300.000 TL","Çay"
"","","","",""
"SAHİPATADA SATILIK 3+1 LÜX DAİRELER","125","3+1","4.050.000 TL","Merkez"
"FATİH MAHALLESİ ÇEVRE YOLUNDA 3+1 YERDEN ISITMALI SIFIR DAİRE","115","3+1","4.000.000 TL","Merkez"
"SATILIK LÜKS DAİRE HAZIR KİRACILI","130","3+1","3.600.000 TL","Merkez"
"İNAN'dan M.F.ÇAKMAK MH HOBİ BAHÇELİ MÜSTAKİL HAVASINDA","130","3+1","3.650.000 TL","MerkezHarbiş"
"İNAN' dan DUMLUPINAR MH ARA KAT DOKTORLAR SİTESİ 2+1 SATILIK","90","2+1","1.850.000 TL","MerkezDumlupınar"
"İNAN'dan SELÇUKLU MH AYÇİN SİTESİ AFJETLI DAİRE","125","3+1","3.250.000 TL","Merkez"
"DURAK EMLAK'TAN SATILIK","90","2+1","1.525.000 TL","MerkezHarbiş"
"!!! İPLİKÇİOĞLU RESİDENCE - KÖŞE KONUMLU - 4+1 LÜKS DAİRE !!!","170","4+1","5.950.000 TL","MerkezÇarşı"
"HAYALİMDEN KÖŞE KONUMLU MANZARALI DUBLEKS 6+2","256","6+2","9.450.000 TL","Merkez"
"Erkmen Florya Park Sitesinde 3+1 Lüks Daire","165","3+1","7.250.000 TL","Merkez"
"HEM YATIRIMA HEM YAŞAMA UYGUN HEMDE 1,99 FAİZ ORANIYLA","70","2+1","4.350.000 TL","Merkez"
"SELÇUKLU EMLAKTAN ERENLERDE EŞYALI 4+0 SATILIK DUBLEKS DAİRE","110","4+1","2.300.000 TL","MerkezKöyler"
